Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,33564,species,Bobolink,Dolichonyx oryzivorus,1,Battelle Darby Creek Metro Park--Nature Center,US-OH,16 May 2026,L2343567,S340326757,,1
2,7724,species,Western Cattle-Egret,Ardea ibis,1,Battelle Darby Creek Metro Park--Nature Center,US-OH,12 May 2026,L2343567,S337959969,,1
3,33563,species,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1,Howard Marsh Metropark,US-OH,09 May 2026,L4971040,S335264533,,1
4,6119,species,Wilson's Phalarope,Phalaropus tricolor,2,Howard Marsh Metropark,US-OH,09 May 2026,L4971040,S335264533,,1
5,33956,species,Golden-winged Warbler,Vermivora chrysoptera,1,Magee Marsh--Boardwalk,US-OH,08 May 2026,L275986,S334837416,,1
6,3614,species,Eastern Whip-poor-will,Antrostomus vociferus,1,Magee Marsh--Boardwalk,US-OH,08 May 2026,L275986,S334837416,,1
7,8909,species,Snowy Owl,Bubo scandiacus,1,"9512 County Road 30, Thornville, Ohio, US (39.837, -82.396)",US-OH,07 May 2026,L65298625,S334218047,,1
8,7591,species,Yellow-crowned Night Heron,Nyctanassa violacea,1,McKinley Quarry,US-OH,04 May 2026,L870692,S332396339,,1
9,19220,species,Yellow-throated Vireo,Vireo flavifrons,1,Shawnee State Forest--Pond Lick Rd.,US-OH,25 Apr 2026,L1149608,S327330031,,1
10,33964,species,Swainson's Warbler,Limnothlypis swainsonii,2,Shawnee State Forest--Shawnee Trail,US-OH,25 Apr 2026,L46312433,S327177260,,1
11,33957,species,Blue-winged Warbler,Vermivora cyanoptera,3,Shawnee State Forest--Shawnee Trail,US-OH,25 Apr 2026,L46312433,S327177260,,1
12,8910,species,Great Horned Owl,Bubo virginianus,2,Glacier Ridge Metro Park--Red Oak Trail,US-OH,17 Apr 2026,L5292963,S323209159,,1
14,33950,species,Worm-eating Warbler,Helmitheros vermivorum,1,Scioto Audubon Metro Park--Whittier,US-OH,15 Apr 2026,L450283,S322009295,,1
